"Title","Default language","Default text","pt text","Variant status","Placeholder"
"Mega Menu::Service Levels Description","English","Benefits included with each subscription level","Um resumo dos benefícios incluídos em cada nível de assinatura","Active","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life","English","Service Life","Ciclo de Vida","Active","dc.mega_menu-service_life"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","Políticas de fim do ciclo de vida para produtos Liferay","Active","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","Crie um ticket","Active","dc.mega_menu-submit_a_ticket"
"Mega Menu::Support","English","Support","Suporte","Active","dc.mega_menu-support"
"Mega Menu::Support Coverage","English","Support Coverage","Cobertura de Suporte","Active","dc.mega_menu-support_coverage"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","Visão geral das políticas de suporte da Liferay","Active","dc.mega_menu-support_coverage_description"
"Mega Menu::Support FAQs","English","Support FAQs","Perguntas mais frequentes de Suporte","Active","dc.mega_menu-support_faqs"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","Respostas à perguntas frequentes relacionadas ao Suporte","Active","dc.mega_menu-support_faqs_description"
"Mega Menu_Announcements","English","Announcements","","","dc.mega_menu_announcements"
"No Articles in Section","English","No Articles in Section","Nenhum Artigo na Seção","Active","dc.no_articles_in_section"
"No Section in Category","English","No Section in Category","Nenhuma Seção na Categoria","Active","dc.no_section_in_category"
"Portal","English","Portal","Portal","Active","dc.portal"
"Products","English","Products","Products","Active","dc.products"
"Product Field::Liferay DXP","English","Liferay DXP","Liferay DXP","Active","dc.product_field-liferay_dxp"
"Product Field::Liferay Portal","English","Liferay Portal","Liferay Portal","Active","dc.product_field-liferay_portal"
"Product Field::Management Tools (LCS)","English","Management Tools (LCS)","Management Tools (LCS)","Active","dc.product_field-management_tools_lcs"
"Product Field::Mobile Device Detection","English","Mobile Device Detection","Mobile Device Detection","Active","dc.product_field-mobile_device_detection"
"Product Field::Mobile Experience","English","Mobile Experience","Mobile Experience","Active","dc.product_field-mobile_experience"
"Product Field::Productivity Tools (Sync)","English","Productivity Tools (Sync)","Productivity Tools (Sync)","Active","dc.product_field-productivity_tools_sync"
"Product Field::Social Office","English","Social Office","Social Office","Active","dc.product_field-social_office"
"Project Details","English","Project Details","Detalhes do Projeto","Active","dc.project_details"
"Quick Links","English","Quick Links","Links Rápidos","Active","dc.quick_links"
"Related Sites","English","Related Sites","Sites Relacionados","Active","dc.related_sites"
"Resources","English","Resources","Recursos","Active","dc.resources"
"Search Results::All Products","English","All Products","","","dc.search_results-all_products"
"Search Results::Filter By","English","FILTER BY:","","","dc.search_results-filter_by"
"Section::Fix Pack Update","English","Fix Pack Update","Atualizações de Fix Pack","Active","dc.section-fix_pack_update"
"Section::General","English","General","Geral","Active","dc.section-general"
"Section::How-to","English","How-to","Como","Active","dc.section-how-to"
"Section::Not Supported","English","Not Supported","Não Suportado","Active","dc.section-not_supported"
"Section::Product Release","English","Product Release","Lançamentos de Produto","Active","dc.section-product_release"
"Section::Security Alert","English","Security Alert","Alertas de Segurança","Active","dc.section-security_alert"
"Section::Supported","English","Supported","Suportado","Active","dc.section-supported"
"Section::Support Policy","English","Support Policy","Política de Suporte","Active","dc.section-support_policy"
"Section::System Update","English","System Update","Atualizações de Sistema","Active","dc.section-system_update"
"Section::Troubleshooting","English","Troubleshooting","Troubleshooting","Active","dc.section-troubleshooting"
"Security","English","Security","Segurança","Active","dc.security"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","Desculpa! Nós procuramos muito no espaço, mas não conseguimos encontrar","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Still Need Help","English","Still Need Help?","Ainda precisa de ajuda?","Active","dc.still_need_help"
"Sub-Status::Completed","English","Completed","Concluído","Active","dc.sub-status-completed"
"Sub-Status::Reproduced","English","Reproduced","Reproduzido","Active","dc.sub-status-reproduced"
"Sub-Status::Resolution Planning","English","Resolution Planning","Plano de Resolução","Active","dc.sub-status-resolution_planning"
"Sub-Status::Solution Proposed","English","Solution Proposed","Solução Proposta","Active","dc.sub-status-solution_proposed"
"Subject Ticket Field - Title","English","Subject","Assunto","Active","dc.subject_ticket_field_-_title"
"Submit a Ticket","English","Submit a Ticket","Crie um ticket","Active","dc.submit_a_ticket"
"Support","English","Support","Suporte","Active","dc.support"
"Support Information","English","Support Information","Informações de Suporte","Active","dc.support_information"
"System Status::Completely shutdown","English","Completely shutdown","Completamente desligado","Active","dc.system_status-completely_shutdown"
"System Status::Fully functional with observed errors","English","Fully functional with observed errors","Totalmente funcional com erros observados","Active","dc.system_status-fully_functional_with_observed_errors"
"System Status::Functioning with limited capabilities","English","Functioning with limited capabilities","Funcionando com capacidades limitadas","Active","dc.system_status-functioning_with_limited_capabilities"
"System Status::General question about the product","English","General question about the product","Perguntas gerais sobre o produto","Active","dc.system_status-general_question_about_the_product"
"System Status::Severely impacted or inoperable","English","Severely impacted or inoperable","Severamente impactado ou inoperativo","Active","dc.system_status-severely_impacted_or_inoperable"
"System Status::Unstable with periodic interruptions","English","Unstable with periodic interruptions","Instável com interrupções periódicas","Active","dc.system_status-unstable_with_periodic_interruptions"
"Ticket View::Assignee","English","Assignee","Responsável","Active","dc.ticket_view-assignee"
"Ticket View::Component (Commerce)","English","Component","Componente","Active","dc.ticket_view-component_commerce"
"Ticket View::Component (DXP)","English","Component","Componente","Active","dc.ticket_view-component_dxp"
"Ticket View::Component (Portal)","English","Component","Componente","Active","dc.ticket_view-component_portal"
"Ticket View::Description","English","Description","Descrição","Active","dc.ticket_view-description"
"Ticket View::Environment","English","Environment","Ambiente","Active","dc.ticket_view-environment"
"Ticket View::File Attachment","English","Add large files over 20MB here","Adicione aqui os arquivos com mais de 20MB","Active","dc.ticket_view-file_attachment"
"Ticket View::Long-Term Resolution","English","Long-Term Resolution","Resolução de longo prazo","Active","dc.ticket_view-long-term_resolution"
"Ticket View::Priority","English","Priority","Prioridade","Active","dc.ticket_view-priority"
"Ticket View::Product","English","Product","Produto","Active","dc.ticket_view-product"
"Ticket View::Sub-Status","English","Sub-Status","Sub-Status","Active","dc.ticket_view-sub-status"
"Ticket View::Subject","English","Subject","Assunto","Active","dc.ticket_view-subject"
"Ticket View::Suggested articles","English","Suggested articles","","","dc.ticket_view-suggested_articles"
"Ticket View::System Stable","English","System Stable","Sistema estável","Active","dc.ticket_view-system_stable"
"Ticket View::System Status","English","System Status","Status do Sistema","Active","dc.ticket_view-system_status"
"View All","English","View All","Ver tudo","Active","dc.view_all"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","Lamentamos, mas você não tem acesso para criar um ticket de suporte.","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
